id	track	title	repos	value	next
voice-loop	Voice & AI	Unified dictation control plane	ostt, hyprwhspr, shout, omarchy-speech-to-text, omarchy-ai	Add a single Omarchy voice layer that can toggle dictation, push text into focused apps, and expose health checks for models/audio.	Wire status checks into om system diagnose and expose install hints for each speech backend.
monitor-studio	Display	Monitor profile studio	hyprmon, omarchy-monitor-settings, omarchy-monitor-toggle, FW12Rotate	Turn monitor setup into saved profiles for desk, laptop, projector, Steam Deck, and rotated devices.	Add profile save/apply commands and TUI preview of current Hyprland monitor JSON.
theme-forge	Themes	Wallpaper-to-theme forge	omarchy-theme-generator, omarchy-themes-generator, omarchy-theme-generator-jaime, omarchy-theme-builder, aether, tema	Generate full Omarchy theme packs from wallpapers and validate colors across terminal, Waybar, Walker, Hyprlock, and editors.	Add om theme forge with palette extraction, contrast validation, and package export.
editor-sync	Developer Experience	Editor theme sync hub	omazed, Neovim-theme-switcher, omarchy-tmux, omarchy-tmux-galvao, omarchy-zsh, omarchy-fish	Keep Zed, Neovim, tmux, zsh, and fish visually synchronized with the active Omarchy theme.	Add om theme sync to report/configure per-app hook status.
waybar-gallery	Desktop UI	Waybar gallery and hot-swap	waybar-themes, minimal-waybar-themes, omarchy-waybar, omarchy-material-waybar, Adsovetzky-Omarchy-s-Waybar	Preview and apply Waybar layouts without replacing the whole desktop config.	Add om waybar browse/apply with backup and rollback.
launcher-pack	Workflow	Clipboard, launcher, and cheat-sheet pack	omaclip, clipboard-manager, omarchy-cheat-sheet, editt	Bundle daily workflow utilities into a keyboard-first command palette.	Add om tools install/enable status for clipboard, snippets, and reference overlays.
annotation-suite	Creative Tools	Wayland annotation suite	wayscriber, hyprmarker, hypruler	Make screen annotation, measurement, and drawing tools discoverable from one workflow.	Add om annotate launcher with availability checks and suggested keybindings.
wallpaper-lab	Visuals	Live wallpaper and workspace backgrounds	live-wallpaper-for-omarchy-linux, omarchy-background-changer, j5onrf-dots	Add animated/current-workspace wallpaper controls with caching and Hyprland reload safety.	Add om wallpaper lab to browse, set, and test workspace-specific backgrounds.
network-kit	Network	Laptop network kit	lazyVPN-for-Omarchy, omarchy-wireguard-vpn-toggle, hyprBluetooth, omarchpods	Add VPN/Bluetooth/container toggles to the TUI with status and quick repair.	Add om network status/toggle wrappers around available local tools.
cleanup-suite	Maintenance	Cleanup and package curator	omarchy-cleaner, a-la-carchy, omarchy-pkgs, Pacsea	Expose safe package cleanup, app removal, and package discovery with dry-run previews.	Add om clean plan/apply with explicit confirmation and rollback notes.
gaming-mode	Gaming	Steam/gaming mode switcher	omarchy-steam-gaming-mode, deckarchy, OMARCHY-VM-UTM, omarchy-box	Offer one-click session tuning for gaming, Steam Deck, VM, and container workflows.	Add om mode gaming with service/app status and reversible tweaks.
backup-ops	Operations	Backup and migration console	manual-nas-backup-tool, omarchy-migrate, omarchy-mirror, pixincreate-configs	Add backup/migration checks that know about dotfiles, configs, and repo mirrors.	Add om backup plan to inventory targets and report missing mounts/tools.
webapp-studio	Apps	Webapp and browser profile studio	omarchy-chromium, flutter_omarchy, omarchy-gui, omarchist, omarchy-configurator	Add a premium app-management surface for Chromium profiles, GUI helpers, and webapp launchers.	Add om apps list/create/status with browser profile checks.
platform-ports	Platforms	Platform adaptation matrix	armarchy, deckarchy, okimarchy, omarchy-nix, omarchy-cachyos, omarchy-on-cachyos, Fedpunk, ohmydebn	Document and compare platform-specific deltas for ARM, Steam Deck, NixOS, CachyOS, Fedora, and Debian.	Add om lab ports to summarize support risks and transferable patches.
community-hub	Community	Local community hub	omarchy-hub, awesome-omarchy, awesome-omarchy-tui, wheel-smith-awesome-omarchy, minimallyexceptional-awesome-omarchy	Turn cloned curated lists into local searchable resources for themes, setups, and tools.	Add om lab search that indexes README titles, repo descriptions, and curated links.
